,Open,High,Low,Close,Volume,Time,Date
3701239,3626.01,3626.01,3625.45,3625.45,0.34511039,03:03:00,2019-01-18
3701240,3627.58,3627.58,3627.58,3627.58,0.08688337,03:04:00,2019-01-18
3701241,3626.74,3626.74,3626.74,3626.74,0.12365562,03:05:00,2019-01-18
3701242,3625.45,3626.74,3625.45,3626.74,4.02851316,03:06:00,2019-01-18
3701243,3626.74,3628.18,3626.53,3626.53,3.30378678,03:07:00,2019-01-18
3701245,3624.43,3624.43,3624.43,3624.43,0.13452389,03:09:00,2019-01-18
3701246,3627.01,3628.68,3627.01,3628.68,1.42434626,03:10:00,2019-01-18
3701248,3627.14,3629.06,3627.14,3627.14,1.52913019,03:12:00,2019-01-18
3701251,3627.84,3627.84,3626.7,3626.7,0.21298649,03:15:00,2019-01-18
3701252,3627.29,3627.29,3627.29,3627.29,0.05236547,03:16:00,2019-01-18
3701253,3626.2,3626.2,3624.23,3625.43,0.94982733,03:17:00,2019-01-18
3701254,3625.43,3626.0,3625.19,3625.19,0.03605316,03:18:00,2019-01-18
3701255,3625.38,3625.74,3625.38,3625.74,0.0385833,03:19:00,2019-01-18
3701256,3625.93,3625.93,3625.79,3625.79,0.04069022,03:20:00,2019-01-18
3701257,3624.82,3624.82,3624.82,3624.82,0.03454808,03:21:00,2019-01-18
3701258,3623.5,3625.31,3623.5,3624.82,0.23261012,03:22:00,2019-01-18
3701259,3625.32,3627.42,3625.32,3627.42,5.36606414,03:23:00,2019-01-18
3701260,3628.05,3628.05,3628.05,3628.05,0.01074739,03:24:00,2019-01-18
3701262,3628.05,3628.05,3628.05,3628.05,0.01683885,03:26:00,2019-01-18
3701263,3628.05,3628.92,3628.05,3628.92,1.56516542,03:27:00,2019-01-18
3701264,3628.12,3628.12,3628.12,3628.12,0.56269481,03:28:00,2019-01-18
3701265,3625.72,3625.72,3625.72,3625.72,0.08418173,03:29:00,2019-01-18
3701266,3626.58,3626.58,3626.58,3626.58,0.05,03:30:00,2019-01-18
3701267,3625.72,3626.3,3624.01,3626.3,1.20166018,03:31:00,2019-01-18
3701268,3626.3,3626.3,3626.3,3626.3,0.2556721,03:32:00,2019-01-18
3701269,3625.04,3625.04,3625.04,3625.04,0.22874755,03:33:00,2019-01-18
3701270,3625.46,3625.8,3625.46,3625.8,3.0,03:34:00,2019-01-18
3701271,3626.3,3626.3,3626.3,3626.3,0.03179154,03:35:00,2019-01-18
3701273,3625.35,3625.73,3624.16,3624.64,2.39044214,03:37:00,2019-01-18
3701274,3626.01,3626.01,3624.0,3624.0,2.36959717,03:38:00,2019-01-18
3701275,3624.0,3624.0,3622.1,3624.0,9.46903213,03:39:00,2019-01-18
3701276,3624.0,3624.74,3624.0,3624.74,11.73417187,03:40:00,2019-01-18
3701277,3625.42,3625.43,3625.42,3625.43,0.02779283,03:41:00,2019-01-18
3701278,3625.43,3626.26,3623.59,3625.8,1.66053827,03:42:00,2019-01-18
3701281,3625.98,3626.3,3625.98,3626.3,1.11817584,03:45:00,2019-01-18
3701282,3626.21,3626.21,3623.5,3625.74,3.54539917,03:46:00,2019-01-18
3701283,3626.34,3628.39,3626.08,3628.39,2.84949027,03:47:00,2019-01-18
3701284,3626.6,3626.6,3623.27,3626.26,1.07427885,03:48:00,2019-01-18
3701285,3623.19,3625.96,3623.19,3625.96,0.41128814,03:49:00,2019-01-18
3701287,3624.38,3624.38,3624.38,3624.38,0.00425127,03:51:00,2019-01-18
3701288,3621.03,3621.94,3621.03,3621.94,0.80645354,03:52:00,2019-01-18
3701289,3622.14,3622.14,3622.14,3622.14,0.02518169,03:53:00,2019-01-18
3701290,3622.14,3622.14,3621.02,3621.02,0.01926373,03:54:00,2019-01-18
3701291,3621.36,3621.36,3620.59,3620.59,0.04935043,03:55:00,2019-01-18
3701292,3621.05,3625.09,3620.68,3625.09,4.30221979,03:56:00,2019-01-18
3701293,3623.36,3624.15,3623.36,3624.15,3.03549769,03:57:00,2019-01-18
3701295,3624.13,3625.0,3622.46,3622.46,1.98883269,03:59:00,2019-01-18
3701296,3624.02,3624.94,3623.59,3623.83,4.89635504,04:00:00,2019-01-18
3701297,3623.23,3625.17,3623.23,3625.17,0.53731536,04:01:00,2019-01-18
3701298,3625.57,3625.57,3625.38,3625.38,1.12752563,04:02:00,2019-01-18
3701299,3624.05,3624.05,3624.05,3624.05,0.02848313,04:03:00,2019-01-18
3701300,3624.69,3625.02,3624.69,3625.02,0.00890746,04:04:00,2019-01-18
