,Open,High,Low,Close,Volume,Time,Date
3755244,3799.34,3810.06,3799.34,3808.73,58.69912027,15:08:00,2019-02-24
3755245,3810.57,3818.33,3805.53,3810.06,48.76020679,15:09:00,2019-02-24
3755246,3810.41,3815.0,3803.8,3811.48,33.10261079,15:10:00,2019-02-24
3755247,3812.81,3820.0,3812.56,3812.56,21.36121207,15:11:00,2019-02-24
3755248,3819.03,3820.0,3813.75,3813.75,13.65647389,15:12:00,2019-02-24
3755249,3819.75,3820.0,3812.02,3813.14,9.1694172,15:13:00,2019-02-24
3755250,3813.25,3815.98,3805.58,3814.21,103.97703659999999,15:14:00,2019-02-24
3755251,3814.12,3815.0,3804.47,3805.67,39.13162954,15:15:00,2019-02-24
3755252,3808.56,3808.56,3801.0,3804.1,17.35147082,15:16:00,2019-02-24
3755253,3803.0,3810.0,3800.0,3800.11,37.42603007,15:17:00,2019-02-24
3755254,3800.11,3809.73,3800.1,3808.36,5.26750743,15:18:00,2019-02-24
3755255,3807.29,3809.25,3802.48,3803.39,6.06401703,15:19:00,2019-02-24
3755256,3803.38,3810.0,3793.81,3794.9,29.65428625,15:20:00,2019-02-24
3755257,3794.9,3796.7,3788.31,3794.11,21.82457576,15:21:00,2019-02-24
3755258,3792.48,3794.37,3791.97,3793.17,2.01151791,15:22:00,2019-02-24
3755259,3793.17,3793.17,3793.17,3793.17,0.287769,15:23:00,2019-02-24
3755260,3793.16,3793.16,3790.0,3790.37,6.09636719,15:24:00,2019-02-24
3755261,3794.18,3798.61,3793.79,3798.61,7.19490678,15:25:00,2019-02-24
3755262,3798.61,3799.31,3796.06,3799.29,7.44970281,15:26:00,2019-02-24
3755263,3799.29,3802.23,3799.0,3799.0,18.34402589,15:27:00,2019-02-24
3755264,3799.0,3803.58,3798.32,3803.58,15.77174616,15:28:00,2019-02-24
3755265,3802.93,3802.93,3795.46,3796.72,11.47902922,15:29:00,2019-02-24
3755266,3796.74,3798.05,3790.0,3790.0,12.79027787,15:30:00,2019-02-24
3755267,3790.01,3793.13,3790.0,3790.0,4.49086806,15:31:00,2019-02-24
3755268,3790.2,3793.08,3790.0,3793.08,4.10545802,15:32:00,2019-02-24
3755269,3791.02,3791.02,3778.11,3781.07,49.11638599,15:33:00,2019-02-24
3755270,3785.97,3785.99,3780.98,3784.83,7.01614799,15:34:00,2019-02-24
3755271,3785.14,3785.97,3782.14,3785.97,15.96328867,15:35:00,2019-02-24
3755272,3786.74,3789.59,3786.0,3788.52,20.00743877,15:36:00,2019-02-24
3755273,3788.6,3790.83,3783.7,3783.7,9.17395037,15:37:00,2019-02-24
3755274,3783.37,3786.43,3773.53,3773.53,20.79473706,15:38:00,2019-02-24
3755275,3774.93,3779.86,3770.13,3772.29,15.71478002,15:39:00,2019-02-24
3755276,3773.45,3783.48,3773.45,3782.92,28.40480747,15:40:00,2019-02-24
3755277,3781.92,3786.4,3779.82,3780.67,20.02247467,15:41:00,2019-02-24
3755278,3780.6,3784.57,3776.9,3776.9,15.61437512,15:42:00,2019-02-24
3755279,3776.89,3778.62,3775.27,3778.62,9.05102061,15:43:00,2019-02-24
3755280,3781.77,3789.98,3780.69,3783.93,15.72585743,15:44:00,2019-02-24
3755281,3785.06,3788.68,3782.06,3784.64,7.39772873,15:45:00,2019-02-24
3755282,3786.52,3786.52,3782.27,3782.27,5.24032936,15:46:00,2019-02-24
3755283,3783.19,3785.02,3782.84,3782.84,7.20483298,15:47:00,2019-02-24
3755284,3780.9,3780.9,3779.52,3779.89,1.07917484,15:48:00,2019-02-24
3755285,3779.99,3784.17,3779.17,3779.17,9.96675012,15:49:00,2019-02-24
3755286,3779.17,3782.72,3779.16,3780.48,14.09212744,15:50:00,2019-02-24
3755287,3780.48,3781.3,3780.21,3781.3,90.88420112,15:51:00,2019-02-24
3755288,3784.41,3785.0,3782.72,3784.6,6.88925616,15:52:00,2019-02-24
3755289,3784.63,3784.63,3775.75,3775.75,28.58754678,15:53:00,2019-02-24
3755290,3775.1,3781.38,3775.03,3776.67,16.0626767,15:54:00,2019-02-24
3755291,3776.67,3783.61,3776.67,3780.91,14.17659114,15:55:00,2019-02-24
3755292,3782.04,3783.0,3775.0,3776.73,3.97297408,15:56:00,2019-02-24
3755293,3773.13,3780.67,3773.0,3774.5,10.52727316,15:57:00,2019-02-24
3755294,3778.25,3784.06,3773.04,3776.97,7.82554595,15:58:00,2019-02-24
3755295,3776.54,3778.27,3773.04,3778.27,22.61877199,15:59:00,2019-02-24
3755296,3778.41,3781.19,3770.0,3770.0,97.14514116,16:00:00,2019-02-24
3755297,3770.0,3770.0,3736.62,3745.44,102.91049565,16:01:00,2019-02-24
3755298,3737.35,3759.12,3732.6,3732.6,100.56406741,16:02:00,2019-02-24
3755299,3732.76,3752.23,3730.0,3750.87,38.54951226,16:03:00,2019-02-24
3755300,3750.88,3769.28,3746.0,3769.02,44.32797381,16:04:00,2019-02-24
3755301,3771.13,3773.58,3764.36,3771.44,29.21203484,16:05:00,2019-02-24
3755302,3772.28,3784.0,3769.99,3779.22,29.52589705,16:06:00,2019-02-24
3755303,3778.67,3778.74,3764.98,3769.67,20.11248271,16:07:00,2019-02-24
3755304,3772.53,3778.0,3770.28,3773.98,5.13717635,16:08:00,2019-02-24
3755305,3774.53,3774.81,3768.87,3773.37,5.80396422,16:09:00,2019-02-24
3755306,3769.95,3772.13,3766.96,3766.96,3.27315697,16:10:00,2019-02-24
3755307,3766.96,3771.64,3763.57,3771.64,18.97399129,16:11:00,2019-02-24
3755308,3771.75,3771.75,3762.58,3765.51,4.48242073,16:12:00,2019-02-24
3755309,3765.5,3765.51,3761.36,3761.36,2.64840744,16:13:00,2019-02-24
3755310,3763.82,3767.29,3762.31,3765.4,7.60528088,16:14:00,2019-02-24
3755311,3764.65,3773.06,3764.65,3772.85,13.12376683,16:15:00,2019-02-24
3755312,3773.2,3773.2,3769.38,3769.6,12.40728644,16:16:00,2019-02-24
3755313,3772.39,3772.88,3769.03,3771.15,19.75612253,16:17:00,2019-02-24
3755314,3770.4,3770.4,3766.15,3766.82,6.68841794,16:18:00,2019-02-24
3755315,3765.76,3767.98,3760.72,3762.89,19.729284200000002,16:19:00,2019-02-24
3755316,3761.7,3762.89,3750.71,3760.19,39.46426574,16:20:00,2019-02-24
3755317,3756.2,3760.12,3753.44,3753.44,8.28731873,16:21:00,2019-02-24
3755318,3750.5,3752.99,3744.38,3746.0,29.40254327,16:22:00,2019-02-24
3755319,3746.42,3752.63,3745.33,3746.52,13.62038616,16:23:00,2019-02-24
3755320,3746.67,3754.46,3746.54,3754.46,7.51562045,16:24:00,2019-02-24
3755321,3755.94,3756.36,3752.48,3755.98,11.94356069,16:25:00,2019-02-24
3755322,3755.21,3756.15,3755.21,3756.15,2.50238851,16:26:00,2019-02-24
3755323,3750.96,3751.51,3746.4,3751.51,15.46299264,16:27:00,2019-02-24
3755324,3751.1,3753.28,3747.81,3749.8,10.27948394,16:28:00,2019-02-24
3755325,3751.45,3752.63,3751.45,3752.41,7.14114773,16:29:00,2019-02-24
3755326,3751.5,3752.4,3746.76,3746.76,9.84418874,16:30:00,2019-02-24
3755327,3744.41,3744.41,3725.0,3741.83,89.54627317,16:31:00,2019-02-24
3755328,3742.42,3742.42,3736.68,3736.68,12.67997951,16:32:00,2019-02-24
3755329,3735.58,3738.7,3728.61,3731.47,21.94479055,16:33:00,2019-02-24
3755330,3732.25,3739.42,3723.3,3739.42,143.26933213,16:34:00,2019-02-24
3755331,3739.28,3739.42,3726.53,3733.33,16.40465523,16:35:00,2019-02-24
3755332,3730.79,3736.9,3724.42,3724.42,14.70554157,16:36:00,2019-02-24
3755333,3722.78,3732.75,3715.0,3732.75,176.24483909,16:37:00,2019-02-24
3755334,3732.75,3732.75,3723.9,3727.02,14.24055047,16:38:00,2019-02-24
3755335,3725.79,3730.23,3725.1,3730.23,7.74520753,16:39:00,2019-02-24
3755336,3726.28,3727.21,3724.67,3726.97,3.93125366,16:40:00,2019-02-24
3755337,3726.96,3745.88,3726.96,3745.87,18.90032166,16:41:00,2019-02-24
3755338,3748.48,3748.99,3737.73,3748.8,26.06327642,16:42:00,2019-02-24
3755339,3749.38,3750.87,3739.57,3740.09,29.7355315,16:43:00,2019-02-24
