,Date,Open,High,Low,Close,Volume,Market Cap
173,"Sep 08, 2017",1.4,1.4,0.946601,1.01,9872850,139804000
174,"Sep 07, 2017",1.03,1.51,0.9567450000000001,1.37,15442300,103434000
175,"Sep 06, 2017",0.9905209999999999,1.17,0.7355,1.09,14279400,99052100
176,"Sep 05, 2017",1.03,1.12,0.740622,0.973716,9453770,103251000
177,"Sep 04, 2017",1.58,1.58,0.61301,1.05,20075100,157665000
178,"Sep 03, 2017",1.93,2.02,1.42,1.58,11662000,192548000
179,"Sep 02, 2017",2.5,2.85,1.72,1.99,22995400,250000000
180,"Sep 01, 2017",2.2,2.39,2.12,2.38,20990700,220169000
181,"Aug 31, 2017",2.33,2.41,2.2,2.2,20214800,232823000
182,"Aug 30, 2017",2.28,2.37,2.09,2.35,24830000,228194000
183,"Aug 29, 2017",2.11,2.33,1.99,2.33,20372000,210625000
184,"Aug 28, 2017",2.02,2.17,1.96,2.04,15413900,202149000
185,"Aug 27, 2017",2.18,2.31,1.86,2.01,17214900,217997000
186,"Aug 26, 2017",2.53,2.54,1.96,2.17,26690700,253038000
187,"Aug 25, 2017",2.39,2.73,2.39,2.5,49977600,239057000
188,"Aug 24, 2017",2.63,2.66,2.28,2.38,45080400,262736000
189,"Aug 23, 2017",2.47,2.96,2.47,2.58,64925100,247397000
190,"Aug 22, 2017",2.72,2.72,2.22,2.49,52091300,272445000
191,"Aug 21, 2017",2.43,2.91,2.43,2.7,72000600,243075000
192,"Aug 20, 2017",2.11,2.69,2.08,2.5,65350400,210821000
193,"Aug 19, 2017",2.33,2.33,1.82,2.09,43391300,233440000
194,"Aug 18, 2017",1.93,2.75,1.89,2.38,69048000,192519000
195,"Aug 17, 2017",1.44,2.11,1.32,1.97,61296500,143697000
196,"Aug 16, 2017",1.12,1.45,1.08,1.44,31363100,111969000
197,"Aug 15, 2017",1.33,1.38,0.923372,1.06,19824400,132709000
198,"Aug 14, 2017",0.8729180000000001,1.46,0.7357640000000001,1.3,51698100,87291800
199,"Aug 13, 2017",0.44598999999999994,1.02,0.44598999999999994,0.876828,13852100,44599000
200,"Aug 12, 2017",0.39219299999999996,0.475992,0.337589,0.44636499999999996,5080760,39219300
201,"Aug 11, 2017",0.348785,0.409654,0.311067,0.392572,4413920,34878500
202,"Aug 10, 2017",0.251827,0.349976,0.245052,0.349079,4118070,25182700
203,"Aug 09, 2017",0.224748,0.260625,0.222158,0.242912,3075320,22474800
204,"Aug 08, 2017",0.148998,0.226925,0.147766,0.224421,2617340,14899800
205,"Aug 07, 2017",0.133958,0.149765,0.1333,0.148848,748177,13395800
206,"Aug 06, 2017",0.12929300000000002,0.13298800000000002,0.12738,0.130999,393681,12929200
207,"Aug 05, 2017",0.107418,0.144653,0.10707,0.128871,542878,10741800
208,"Aug 04, 2017",0.10668499999999999,0.10775599999999999,0.102699,0.107494,287621,10668500
209,"Aug 03, 2017",0.100328,0.106978,0.09912,0.106642,293008,10032800
210,"Aug 02, 2017",0.099721,0.101211,0.097361,0.100452,256793,9972120
211,"Aug 01, 2017",0.10459500000000001,0.10626600000000001,0.096109,0.099867,300413,10459500
212,"Jul 31, 2017",0.10682799999999999,0.108349,0.1016,0.10425,240309,10682800
213,"Jul 30, 2017",0.10793499999999999,0.10813800000000001,0.10316199999999999,0.10641400000000001,224261,10793500
214,"Jul 29, 2017",0.104782,0.11126400000000002,0.101108,0.10781099999999999,340218,10478200
215,"Jul 28, 2017",0.10763199999999999,0.109019,0.10147300000000001,0.104067,342568,10763200
216,"Jul 27, 2017",0.105108,0.10847899999999999,0.100888,0.10773699999999999,344499,10510800
217,"Jul 26, 2017",0.105893,0.10901300000000001,0.099266,0.10513800000000001,200395,10589300
218,"Jul 25, 2017",0.115203,0.11584100000000001,0.101531,0.10587,145269,11520300
